Student_ID,CP,DSA,DBMS,MP,COA,SE,CNS,OS,WEBDEV,AUTOMATA,Preference Of Elective,Alloted Elective,Marks In Alloted Elective,CGPA
SID20158335,73,84,88,97,71,93,74,77,62,84,CS,CS,68,80.3
SID20163525,85,65,58,92,69,75,93,83,82,93,AR_VR,AR_VR,89,79.5
SID20188402,76,70,88,43,91,78,96,89,80,85,CC,CC,82,79.6
SID20174121,63,87,91,70,92,82,86,83,86,55,CC,CC,78,79.5
SID20181457,97,85,87,74,88,98,40,77,82,73,CS,CS,69,80.1
SID20132917,43,54,54,61,53,76,99,24,91,92,IOT,IOT,66,64.7
SID20144263,86,90,87,94,83,67,86,44,91,86,ML,ML,81,81.4
SID20135654,68,87,71,75,96,81,77,55,90,94,CC,CC,64,79.4
SID20137336,45,92,71,96,94,80,63,95,68,94,CS,CS,60,79.8
SID20152468,85,59,96,98,75,49,91,95,80,65,AR_VR,AR_VR,96,79.3
SID20177628,99,94,46,69,96,95,65,79,54,96,CC,CC,65,79.3
SID20141851,73,70,93,78,95,89,65,83,76,76,CS,CS,56,79.8
SID20153814,100,86,55,90,97,91,64,80,87,64,ML,ML,73,81.4
SID20165791,84,88,55,53,100,93,81,98,83,63,CS,CS,58,79.8
SID20145853,88,66,96,56,50,86,82,78,89,99,AR_VR,AR_VR,65,79
SID20167783,42,81,100,68,94,66,100,95,79,66,CC,CC,60,79.1
SID20173879,57,88,74,61,80,69,97,96,88,88,CS,CS,52,79.8
SID20133098,67,66,51,51,71,70,57,67,93,51,IOT,IOT,98,64.4
SID20149625,72,89,85,98,99,97,93,76,40,63,ML,ML,94,81.2
SID20133111,92,96,91,73,80,63,79,57,84,75,CC,CC,48,79
SID20139626,95,84,91,98,83,75,86,86,47,52,CS,CS,56,79.7
SID20152969,94,54,76,99,97,83,98,56,52,81,AR_VR,AR_VR,58,79
SID20146875,93,40,89,100,92,85,61,83,86,58,CC,CC,67,78.7
SID20166145,76,59,69,98,98,97,61,72,88,77,CS,CS,44,79.5
SID20144148,75,78,98,96,90,98,74,85,51,48,CS,CS,57,79.3
SID20133413,93,75,93,68,86,87,79,87,23,98,AR_VR,AR_VR,51,78.9
SID20149047,93,98,93,78,91,50,72,61,94,57,CC,CC,99,78.7
SID20158682,96,100,66,91,94,55,45,87,78,81,CS,CS,93,79.3
SID20145670,63,70,68,93,92,98,99,86,56,84,ML,ML,64,80.9
SID20164614,92,97,86,86,89,85,64,75,68,51,CS,CS,80,79.3
SID20136021,43,70,96,49,71,96,90,83,100,91,AR_VR,AR_VR,63,78.9
SID20175931,71,91,61,96,94,51,96,92,41,94,CC,CC,49,78.7
SID20153364,86,92,93,70,84,97,41,99,80,50,CS,CS,89,79.2
SID20133286,100,67,48,62,54,51,95,73,72,42,IOT,IOT,92,66.4
SID20184757,97,99,85,61,70,53,97,89,82,76,ML,ML,52,80.9
SID20169023,89,85,82,89,86,57,76,96,75,56,CS,CS,68,79.1
SID20133314,80,50,90,46,52,63,95,90,70,77,IOT,IOT,77,71.3
SID20155573,92,65,90,98,74,58,84,93,64,90,ML,ML,86,80.8
SID20162489,86,85,77,73,100,85,80,49,99,53,CC,CC,81,78.7
SID20146477,44,96,40,100,97,91,99,45,79,99,CS,CS,81,79
SID20146037,81,53,83,94,71,80,89,80,84,74,AR_VR,AR_VR,93,78.9
SID20152570,62,58,89,63,63,80,89,99,98,85,CC,CC,72,78.6
SID20156761,62,96,50,95,61,79,81,79,94,93,CS,CS,78,79
SID20166722,96,99,87,63,49,78,87,100,74,57,CS,CS,46,79
SID20174632,96,62,81,59,98,79,100,84,85,45,AR_VR,AR_VR,41,78.9
SID20172674,83,95,88,100,93,88,42,84,53,60,CC,CC,72,78.6
SID20178191,64,96,94,94,67,71,48,97,69,90,CS,CS,43,79
SID20176146,68,60,98,90,95,61,85,100,65,85,ML,ML,68,80.7
SID20184199,90,58,96,48,72,99,75,99,76,86,SVV,SVV,77,79.9
SID20135142,60,84,90,90,58,82,100,85,53,83,CC,CC,41,78.5
SID20152993,88,54,70,88,67,96,92,63,73,98,CS,CS,49,78.9
SID20133497,62,78,75,54,90,82,45,19,85,43,IOT,IOT,41,63.3
SID20157834,85,84,77,70,89,90,90,82,94,45,ML,ML,62,80.6
SID20133507,72,71,50,70,54,85,42,91,92,71,NLP,NLP,81,69.8
SID20146579,76,85,62,42,57,91,98,97,83,95,AR_VR,AR_VR,41,78.6
SID20189892,91,97,73,89,82,87,54,96,74,54,SVV,SVV,83,79.7
SID20138523,98,51,83,95,68,64,86,55,97,88,CC,CC,99,78.5
SID20132627,69,88,80,87,82,65,89,62,68,98,CS,CS,53,78.8
SID20133561,40,88,78,76,62,45,72,97,67,47,IOT,IOT,44,67.2
SID20148761,87,70,83,81,98,51,89,90,77,79,ML,ML,47,80.5
SID20133628,43,54,98,63,76,44,85,94,47,64,NLP,NLP,59,66.8
SID20148481,90,94,93,48,47,54,94,80,96,90,AR_VR,AR_VR,60,78.6
SID20163403,48,90,99,95,97,43,52,77,85,99,CC,CC,46,78.5
SID20136013,57,83,70,97,73,100,93,49,75,91,CS,CS,89,78.8
SID20133731,96,85,60,73,44,82,95,94,81,50,IOT,IOT,94,76
SID20131931,90,83,96,44,48,83,80,85,98,97,ML,ML,84,80.4
SID20133751,68,88,96,98,59,91,90,71,53,86,NLP,NLP,88,80
SID20144691,65,98,91,80,89,75,73,51,64,97,AR_VR,AR_VR,78,78.3
SID20136912,69,74,97,54,76,99,77,56,97,94,SVV,SVV,65,79.3
SID20135945,97,46,90,95,95,52,97,53,96,63,CC,CC,61,78.4
SID20177272,43,87,97,93,97,92,95,67,74,43,CS,CS,98,78.8
SID20132816,81,92,80,57,94,91,72,53,78,84,AR_VR,AR_VR,90,78.2
SID20168425,83,99,59,82,83,75,67,78,62,100,SVV,SVV,98,78.8
SID20159475,81,95,44,51,90,96,60,91,94,80,CC,CC,78,78.2
SID20158434,79,98,51,81,41,92,89,97,83,76,CS,CS,66,78.7
SID20133920,85,97,81,52,61,26,45,44,61,69,IOT,IOT,68,62.1
SID20136751,78,86,95,79,78,82,40,86,89,89,ML,ML,56,80.2
SID20134007,94,71,78,71,75,45,64,86,49,57,NLP,NLP,94,69
SID20135785,74,94,96,77,58,99,60,100,68,55,AR_VR,AR_VR,62,78.1
SID20164055,91,82,59,57,98,46,72,83,95,97,CC,CC,67,78
SID20178817,86,87,99,62,96,93,54,44,76,89,CS,CS,72,78.6
SID20154470,100,93,73,56,72,98,44,68,78,99,AR_VR,AR_VR,41,78.1
SID20165914,66,61,96,65,86,50,99,71,92,94,CC,CC,74,78
SID20183575,94,73,60,88,72,79,69,100,51,100,CS,CS,56,78.6
SID20134161,64,49,76,92,94,66,95,64,78,88,IOT,IOT,63,76.6
SID20139236,90,52,72,98,48,95,87,85,87,88,ML,ML,51,80.2
SID20134178,99,59,81,91,60,93,98,21,60,72,NLP,NLP,61,73.4
SID20135707,47,85,99,77,94,59,63,75,99,81,AR_VR,AR_VR,57,77.9
SID20152248,84,45,57,87,79,86,76,88,95,88,CS,CS,55,78.5
SID20134260,51,48,54,55,79,72,52,54,93,57,IOT,IOT,84,61.5
SID20171246,92,92,88,93,45,75,52,93,87,85,ML,ML,47,80.2
SID20134275,71,56,86,62,67,43,50,40,21,44,NLP,NLP,72,54
SID20142751,46,80,100,100,87,100,73,45,91,56,AR_VR,AR_VR,83,77.8
SID20165493,44,93,50,63,89,96,87,93,81,83,CC,CC,99,77.9
SID20155377,82,57,93,100,84,59,94,90,57,69,CS,CS,100,78.5
SID20187788,54,76,95,82,76,67,97,68,82,80,AR_VR,AR_VR,92,77.7
SID20134761,76,82,62,76,71,50,97,90,100,74,CC,CC,78,77.8
SID20157729,48,95,77,70,67,88,100,64,83,93,CS,CS,95,78.5
SID20134445,90,57,81,75,45,71,61,43,77,58,IOT,IOT,46,65.8
SID20168876,93,79,79,90,70,43,95,87,74,90,ML,ML,78,80
SID20189190,95,90,62,92,100,60,99,80,59,60,ML,ML,74,79.7
SID20134504,84,52,59,54,67,60,71,47,86,57,NLP,NLP,77,63.7
SID20131872,83,69,83,97,77,74,82,60,72,79,AR_VR,AR_VR,59,77.6
SID20165867,75,60,92,83,78,92,84,77,55,82,CC,CC,94,77.8
SID20143251,93,97,86,59,82,54,85,90,88,49,CS,CS,46,78.3
SID20137674,74,58,53,97,94,89,77,97,60,77,AR_VR,AR_VR,55,77.6
SID20137434,72,80,65,51,76,77,100,83,93,80,CC,CC,52,77.7
SID20164310,47,95,88,100,97,62,48,82,65,99,CS,CS,85,78.3
SID20134645,91,57,86,54,69,45,40,25,56,44,IOT,IOT,69,56.7
SID20137235,60,84,86,91,96,91,79,64,88,57,ML,ML,70,79.6
SID20143108,99,66,83,99,69,41,89,94,96,46,CS,CS,61,78.2
SID20145835,100,90,97,59,79,96,54,96,60,45,AR_VR,AR_VR,79,77.6
SID20142014,80,42,82,97,79,81,97,69,81,69,CC,CC,68,77.7
SID20144802,74,82,58,79,40,98,84,83,90,94,CS,CS,78,78.2
SID20162803,88,98,83,71,92,92,62,94,46,50,AR_VR,AR_VR,98,77.6
SID20158344,81,76,74,55,78,85,84,89,90,65,CC,CC,89,77.7
SID20133235,74,97,68,76,94,76,92,67,72,65,CS,CS,63,78.1
SID20134805,44,93,95,60,99,67,73,66,82,85,IOT,IOT,87,76.4
SID20169152,72,72,78,69,60,97,76,95,74,98,ML,ML,65,79.1
SID20133282,100,100,83,47,84,56,97,88,59,67,CS,CS,99,78.1
SID20145183,82,81,54,90,94,42,85,98,91,58,AR_VR,AR_VR,91,77.5
SID20135905,90,67,78,69,56,98,93,92,55,75,CC,CC,74,77.3
SID20173983,98,84,53,60,94,73,81,57,81,91,CC,CC,87,77.2
SID20155697,94,93,74,83,42,49,92,98,95,61,CS,CS,65,78.1
SID20134891,70,91,91,78,47,41,96,74,41,61,IOT,IOT,85,69
SID20186248,85,71,96,98,96,45,57,77,85,81,ML,ML,72,79.1
SID20164987,82,80,48,93,92,99,80,91,59,57,CS,CS,65,78.1
SID20133658,50,95,82,47,60,98,98,79,87,78,AR_VR,AR_VR,63,77.4
SID20177632,88,72,79,61,97,91,53,69,93,68,CC,CC,49,77.1
SID20174384,76,67,47,86,77,84,63,93,97,90,CS,CS,58,78
SID20134991,82,93,98,83,66,53,76,63,78,82,AR_VR,AR_VR,73,77.4
SID20181263,43,85,93,84,84,87,89,54,56,96,CC,CC,65,77.1
SID20149831,92,82,63,96,73,74,63,77,81,78,CS,CS,60,77.9
SID20168551,88,75,44,100,85,48,100,73,82,95,ML,ML,62,79
SID20164217,100,90,75,67,99,46,72,95,70,64,CS,CS,55,77.8
SID20163087,96,92,57,99,57,80,83,42,78,90,AR_VR,AR_VR,77,77.4
SID20154878,97,91,78,97,53,97,57,81,62,57,CC,CC,48,77
SID20179711,76,84,92,52,79,96,54,81,60,96,CC,CC,100,77
SID20187237,96,100,56,62,87,88,58,95,67,69,CS,CS,49,77.8
SID20135153,80,84,50,72,22,88,86,46,57,42,IOT,IOT,48,62.7
SID20168562,95,78,76,83,67,98,45,86,66,95,ML,ML,62,78.9
SID20159615,52,100,59,75,81,94,75,91,45,98,CC,CC,46,77
SID20141814,74,72,89,72,64,100,64,45,97,100,CS,CS,74,77.7
SID20181842,68,42,94,46,77,84,97,83,91,92,AR_VR,AR_VR,63,77.4
SID20138744,99,79,86,62,68,99,76,54,63,83,CC,CC,87,76.9
SID20137385,100,45,91,99,75,98,52,59,100,57,CS,CS,50,77.6
SID20171928,97,71,91,48,75,58,86,98,96,69,ML,ML,89,78.9
SID20151142,90,86,90,53,71,80,93,85,54,73,CS,CS,90,77.5
SID20167287,40,81,72,98,91,49,83,96,83,80,AR_VR,AR_VR,97,77.3
SID20149680,64,99,99,88,47,55,95,50,83,89,CC,CC,90,76.9
SID20165401,73,95,97,49,75,59,77,90,81,79,CS,CS,69,77.5
SID20135373,78,48,95,95,61,45,61,51,62,48,IOT,IOT,74,64.4
SID20178103,49,95,45,98,55,90,89,95,80,93,ML,ML,60,78.9
SID20188974,87,46,67,93,96,81,86,79,61,73,CC,CC,74,76.9
SID20165470,83,63,99,90,61,63,66,85,75,90,CS,CS,80,77.5
SID20134828,100,77,80,51,91,90,100,44,42,97,AR_VR,AR_VR,75,77.2
SID20189725,84,94,77,90,81,84,70,87,77,25,CC,CC,41,76.9
SID20172186,86,87,96,61,57,95,88,82,45,78,CS,CS,58,77.5
SID20183291,91,78,65,82,99,40,94,62,67,97,CS,CS,97,77.5
SID20132654,79,45,97,77,92,78,58,78,82,84,AR_VR,AR_VR,60,77
SID20141841,78,88,69,91,83,80,84,54,61,80,CC,CC,53,76.8
SID20142958,45,78,98,66,99,72,88,75,81,71,CS,CS,86,77.3
SID20182236,88,99,67,67,86,96,63,87,59,74,ML,ML,94,78.6
SID20153628,85,41,62,95,89,98,78,75,77,73,CS,CS,72,77.3
SID20135936,94,65,89,66,83,100,93,68,61,51,AR_VR,AR_VR,94,77
SID20142752,74,96,93,75,68,84,58,66,92,61,CC,CC,100,76.7
SID20156042,98,98,69,80,70,70,95,71,58,64,CS,CS,66,77.3
SID20135661,78,86,53,44,50,54,83,97,98,62,IOT,IOT,89,70.5
SID20174108,68,65,89,61,87,85,78.55555556,97,61,94,ML,ML,43,78.55555556
SID20165883,70,95,87,55,59,89,80,83,90,65,CS,CS,50,77.3
SID20135678,99,78,75,81,58,100,62,43,86,60,IOT,IOT,51,74.2
SID20141462,55,100,100,86,88,53,73,66,95,68,ML,ML,51,78.4
SID20147200,58,75,69,72,94,55,100,100,98,46,CC,CC,60,76.7
SID20186389,84,65,70,75,88,58,89,98,74,71,CS,CS,91,77.2
SID20156438,88,91,93,71,81,84,45,78,89,49,AR_VR,AR_VR,74,76.9
SID20147592,99,95,54,94,46,77,47,91,68,94,CC,CC,48,76.5
SID20146094,75,43,72,81,56,87,94,88,81,94,CS,CS,57,77.1
SID20143391,64,90,71,98,45,64,81,84,96,77,CS,CS,55,77
SID20161648,54,97,89,56,99,79,68,51,79,97,AR_VR,AR_VR,63,76.9
SID20183647,72,72,83,94,73,57,98,93,65,58,CC,CC,73,76.5
SID20188962,100,75,85,77,64,74,98,55,54,87,CS,CS,76,76.9
SID20131834,64,99,95,82,76,59,55,74,98,81,ML,ML,92,78.3
SID20135859,44,69,43,72,50,56,56,56,43,22,IOT,IOT,100,51.1
SID20142655,49,73,68,63,95,80,95,83,77,100,ML,ML,46,78.3
SID20149859,47,100,61,99,75,99,69,96,71,51,CS,CS,82,76.8
SID20139134,60,100,78,48,87,74,90,84,48,99,AR_VR,AR_VR,58,76.8
SID20137461,78,75,91,85,46,79,93,52,89,76,CC,CC,44,76.4
SID20154311,88,61,100,86,94,84,47,43,88,77,CS,CS,69,76.8
SID20149465,81,63,87,45,77,94,91,79,59,91,AR_VR,AR_VR,49,76.7
SID20155843,49,79,91,55,64,98,56,91,91,90,CC,CC,42,76.4
SID20177144,45,75,100,97,62,92,56,84,67,90,CS,CS,83,76.8
SID20161136,75,97,56,95,85,90,96,85,50,54,ML,ML,72,78.3
SID20142395,77,100,64,65,51,100,75,77,69,89,CS,CS,58,76.7
SID20152994,100,98,72,45,73,93,72,66,100,48,AR_VR,AR_VR,81,76.7
SID20172381,78,100,73,67,57,92,57,87,72,81,CC,CC,46,76.4
SID20155324,66,81,84,86,84,100,63,57,95,47,CC,CC,93,76.3
SID20172402,64,77,81,80,90,84,75,81,86,49,CS,CS,56,76.7
SID20136060,40,62,49,49,100,62,80,56,75,76,IOT,IOT,78,64.9
SID20168127,69,75,73,82,69,100,42,76,99,96,ML,ML,48,78.1
SID20171972,99,63,97,78,97,42,96,40,98,53,CC,CC,46,76.3
SID20148575,66,66,78,59,84,90,71,63,99,90,CS,CS,97,76.6
SID20148337,79,92,86,85,87,72,72,59,92,42,AR_VR,AR_VR,70,76.6
SID20162745,61,100,96,54,73,82,48,65,89,95,CC,CC,88,76.3
SID20166603,66,88,85,58,88,97,79,57,85,63,CS,CS,54,76.6
SID20154641,58,64,78,53,83,87,99,83,81,92,ML,ML,71,77.8
SID20153140,40,99,89,59,90,45,80,79,95,89,CS,CS,51,76.5
SID20152899,55,96,82,78,95,71,57,89,91,52,AR_VR,AR_VR,70,76.6
SID20145276,79,72,98,92,67,60,41,95,74,84,CC,CC,60,76.2
SID20159915,64,58,70,86,53,99,47,98,91,99,CS,CS,58,76.5
SID20136287,48,77,43,74,52,45,51,44,94,48,IOT,IOT,98,57.6
SID20155054,65,74,87,100,62,90,93,86,69,52,ML,ML,55,77.8
SID20189625,95,72,86,98,53,72,70,92,68,56,CC,CC,73,76.2
SID20159982,97,87,61,55,43,100,91,77,65,89,CS,CS,89,76.5
SID20154789,99,40,62,84,99,96,58,71,64,93,AR_VR,AR_VR,52,76.6
SID20163762,92,97,96,45,87,47,93,65,68,72,CC,CC,57,76.2
SID20189161,91,74,68,99,71,87,95,68,60,52,CS,CS,99,76.5
SID20135405,53,66,71,76,89,85,98,59,98,69,CS,CS,42,76.4
SID20135459,77,98,97,84,48,86,54,74,99,47,AR_VR,AR_VR,43,76.4
SID20132910,45,83,89,100,50,89,63,89,87,66,CC,CC,41,76.1
SID20147931,57,46,83,97,66,63,82,89,88,93,CS,CS,69,76.4
SID20163655,83,83,73,72,67,80,79,68,84,88,ML,ML,71,77.7
SID20172714,72,86,65,83,98,70,68,89,82,51,CS,CS,89,76.4
SID20148684,64,68,95,87,74,55,69,95,88,69,AR_VR,AR_VR,49,76.4
SID20148587,90,47,80,94,81,98,77,60,74,60,CC,CC,81,76.1
SID20184250,98,77,80,61,97,87,92,40,87,45,CS,CS,68,76.4
SID20136695,44,49,84,54,92,97,90,99,95,89,IOT,IOT,84,79.3
SID20141887,99,85,60,70,96,94,58,63,98,52,ML,ML,46,77.5
SID20188598,60,59,63,62,97,89,87,88,63,96,CS,CS,41,76.4
SID20136724,54,70,61,56,97,60,85,96,45,64,IOT,IOT,72,68.8
SID20145082,81,81,87,77,81,95,64,88,73,48,ML,ML,45,77.5
SID20174773,71,89,55,46,88,45,87,92,91,97,CC,CC,45,76.1
SID20151111,98,72,52,81,67,77,96,60,63,97,CS,CS,59,76.3
SID20156370,98,100,44,84,82,70,43,97,73,71,AR_VR,AR_VR,94,76.2
SID20161861,79,79,85,58,99,90,62,66,94,49,CC,CC,20,76.1
SID20155904,57,52,91,98,82,81,65,77,95,65,CS,CS,66,76.3
SID20156979,72,50,98,74,95,93,53,65,70,92,CS,CS,81,76.2
SID20179501,73,77,66,83,84,97,66,100,56,59,AR_VR,AR_VR,41,76.1
SID20132995,79,98,61,80,95,66,61,98,72,50,CC,CC,70,76
SID20188819,79,60,68,96,82,64,88,98,60,67,CS,CS,68,76.2
SID20155429,61,81,99,86,93,50,79,92,83,51,ML,ML,90,77.5
SID20184688,87,81,62,90,61,84,76,77,98,71,SVV,SVV,82,78.7
SID20144878,73,48,43,63,80,99,95,68,92,99,CC,CC,55,76
SID20142708,71,100,67,43,88,97,53,84,97,61,CS,CS,46,76.1
SID20136940,97,49,66,71,48,70,76,53,60,86,IOT,IOT,44,67.6
SID20182196,41,81,89,73,70,81,74,100,93,73,ML,ML,65,77.5
SID20137002,48,78,88,70,49,90,70,60,85,60,NLP,NLP,62,69.8
SID20151907,89,66,97,41,42,99,98,74,58,96,AR_VR,AR_VR,84,76
SID20145185,86,89,57,84,98,54,72,66,88,92,SVV,SVV,54,78.6
SID20158423,43,70,83,84,100,98,69,80,61,72,CC,CC,40,76
SID20152339,59,64,85,85,93,94,74,82,67,58,CS,CS,25,76.1
SID20137092,92,51,91,86,83,52,98,45,77,76,IOT,IOT,95,75.1
SID20147791,51,65,62,89,80,84,55,99,96,91,ML,ML,52,77.2
SID20137137,84,98,79,47,84,49,90,46,47,54,NLP,NLP,84,67.8
SID20138520,90,77,99,83,100,67,51,47,52,93,AR_VR,AR_VR,51,75.9
SID20145847,62,58,58,70,67,91,97,96,82,78,CC,CC,81,75.9
SID20138349,59,85,84,96,67,78,60,89,96,46,CS,CS,56,76
SID20137187,71,49,77,85,86,42,96,83,97,83,IOT,IOT,48,76.9
SID20153426,90,72,94,58,98,62,86,69,96,47,ML,ML,82,77.2
SID20137236,73,28,72,44,62,49,90,60,99,59,NLP,NLP,68,63.6
SID20166824,90,89,62,92,62,50,58,74,83,99,AR_VR,AR_VR,93,75.9
SID20182731,91,82,80,80,97,23,99,55,86,90,SVV,SVV,99,78.3
SID20161237,96,83,71,99,84,75,77,48,64,62,CC,CC,85,75.9
SID20189015,89,80,64,94,57,78,64,69,100,65,CS,CS,64,76
SID20176775,94,67,92,61,60,67,61,85,100,72,AR_VR,AR_VR,65,75.9
SID20182161,84,75,64,54,98,99,82,99,64,63,SVV,SVV,61,78.2
SID20152108,80,100,57,70,92,51,79,79,53,97,CC,CC,92,75.8
